Datum,Wert,Einheit
02.08. 00:15,0.0,kW
02.08. 00:30,0.0,kW
02.08. 00:45,0.0,kW
02.08. 01:00,0.0,kW
02.08. 01:15,0.0,kW
02.08. 01:30,0.0,kW
02.08. 01:45,0.0,kW
02.08. 02:00,0.0,kW
02.08. 02:15,0.0,kW
02.08. 02:30,0.0,kW
02.08. 02:45,0.0,kW
02.08. 03:00,0.0,kW
02.08. 03:15,0.0,kW
02.08. 03:30,0.0,kW
02.08. 03:45,0.0,kW
02.08. 04:00,0.0,kW
02.08. 04:15,0.0,kW
02.08. 04:30,0.0,kW
02.08. 04:45,0.0,kW
02.08. 05:00,0.0,kW
02.08. 05:15,0.0,kW
02.08. 05:30,0.0,kW
02.08. 05:45,0.0,kW
02.08. 06:00,0.0,kW
02.08. 06:15,0.0,kW
02.08. 06:30,0.06,kW
02.08. 06:45,0.22,kW
02.08. 07:00,0.38,kW
02.08. 07:15,0.42,kW
02.08. 07:30,0.57,kW
02.08. 07:45,0.69,kW
02.08. 08:00,0.61,kW
02.08. 08:15,0.86,kW
02.08. 08:30,1.05,kW
02.08. 08:45,1.07,kW
02.08. 09:00,1.43,kW
02.08. 09:15,1.89,kW
02.08. 09:30,2.78,kW
02.08. 09:45,4.15,kW
02.08. 10:00,4.45,kW
02.08. 10:15,4.94,kW
02.08. 10:30,5.53,kW
02.08. 10:45,6.03,kW
02.08. 11:00,6.41,kW
02.08. 11:15,6.85,kW
02.08. 11:30,7.17,kW
02.08. 11:45,7.37,kW
02.08. 12:00,7.74,kW
02.08. 12:15,8.42,kW
02.08. 12:30,9.13,kW
02.08. 12:45,5.58,kW
02.08. 13:00,6.56,kW
02.08. 13:15,6.94,kW
02.08. 13:30,7.09,kW
02.08. 13:45,6.09,kW
02.08. 14:00,6.29,kW
02.08. 14:15,9.0,kW
02.08. 14:30,8.88,kW
02.08. 14:45,7.83,kW
02.08. 15:00,8.89,kW
02.08. 15:15,7.56,kW
02.08. 15:30,7.22,kW
02.08. 15:45,7.66,kW
02.08. 16:00,7.57,kW
02.08. 16:15,7.39,kW
02.08. 16:30,7.06,kW
02.08. 16:45,6.83,kW
02.08. 17:00,5.96,kW
02.08. 17:15,5.95,kW
02.08. 17:30,5.71,kW
02.08. 17:45,5.11,kW
02.08. 18:00,4.4,kW
02.08. 18:15,3.86,kW
02.08. 18:30,3.31,kW
02.08. 18:45,2.76,kW
02.08. 19:00,1.71,kW
02.08. 19:15,1.34,kW
02.08. 19:30,1.33,kW
02.08. 19:45,1.02,kW
02.08. 20:00,0.69,kW
02.08. 20:15,0.47,kW
02.08. 20:30,0.27,kW
02.08. 20:45,0.16,kW
02.08. 21:00,0.06,kW
02.08. 21:15,0.03,kW
02.08. 21:30,0.0,kW
02.08. 21:45,0.0,kW
02.08. 22:00,0.0,kW
02.08. 22:15,0.0,kW
02.08. 22:30,0.0,kW
02.08. 22:45,0.0,kW
02.08. 23:00,0.0,kW
02.08. 23:15,0.0,kW
02.08. 23:30,0.0,kW
02.08. 23:45,0.0,kW
03.08. 00:00,0.0,kW
